X,Y,Latitude,Longitude,z,dT
3406135.2,508858.43,30.7759238,114.0925386,-85,0.119002131
3406133.9,508857.68,30.7759121,114.0925307,-85,0.135192326
3406132.62,508856.92,30.7759005,114.0925228,-85,0.152951308
3406131.32,508856.17,30.7758888,114.0925149,-85,0.172289491
3406130.03,508855.4,30.7758772,114.0925069,-85,0.193272555
3406128.74,508854.65,30.7758655,114.092499,-85,0.215437636
3406127.45,508853.88,30.7758539,114.092491,-85,0.239307741
3406126.15,508853.12,30.7758422,114.092483,-85,0.264573773
3406124.86,508852.35,30.7758306,114.092475,-85,0.291220592
3406123.57,508851.59,30.7758189,114.092467,-85,0.318549576
3406122.27,508850.82,30.7758072,114.092459,-85,0.34665268
3406120.97,508850.06,30.7757955,114.092451,-85,0.375775275
3406119.67,508849.3,30.7757838,114.0924431,-85,0.4060156
3406118.38,508848.56,30.7757721,114.0924353,-85,0.43643701
3406117.07,508847.81,30.7757603,114.0924275,-85,0.467368778
3406115.78,508847.05,30.7757487,114.0924195,-85,0.498134886
3406114.47,508846.29,30.7757369,114.0924116,-85,0.529079621
3406113.17,508845.54,30.7757252,114.0924037,-85,0.559536307
3406111.89,508844.78,30.7757136,114.0923958,-85,0.589269498
3406110.58,508844.02,30.7757018,114.0923878,-85,0.618459968
3406109.29,508843.26,30.7756902,114.0923799,-85,0.646651998
3406107.99,508842.51,30.7756785,114.092372,-85,0.673341322
3406106.71,508841.74,30.7756669,114.092364,-85,0.698834148
3406105.41,508840.98,30.7756552,114.092356,-85,0.722420808
3406104.11,508840.21,30.7756435,114.092348,-85,0.744459452
3406102.8,508839.45,30.7756317,114.09234,-85,0.764400319
3406101.5,508838.69,30.77562,114.0923321,-85,0.782126015
3406100.21,508837.92,30.7756083,114.092324,-85,0.79761695
3406098.92,508837.15,30.7755967,114.092316,-85,0.810783078
3406097.62,508836.39,30.775585,114.092308,-85,0.821700294
3406096.34,508835.63,30.7755734,114.0923,-85,0.830822251
3406095.05,508834.87,30.7755618,114.0922921,-85,0.836769617
3406093.77,508834.12,30.7755503,114.0922843,-85,0.839677139
3406092.53,508833.39,30.7755391,114.0922766,-85,0.840214782
3406091.3,508832.67,30.775528,114.0922691,-85,0.838637763
3406090.1,508831.96,30.7755172,114.0922617,-85,0.83502104
